Hash,Effective Gas Tip Gwei,Transaction Fee Estimate Gwei,Transaction Gas Used
0x9a95a7990117e1fcab8e5faecca1da4b29518a4fbdf5b726435a44a26bd6e83d,0.000760232,15.964872,21000
0x48e48a035bda53c18c1a85c20c2ada9e4416228556601a4b76d31030bcb1488a,0.0007829940000000001,16.442874,21000
0x83bdef72092cc5e034182c8ab105822394152c08ec72117f228b147357c3b491,0.0007829940000000001,117.616660716,150214
0x9ca02ded772d902140100d27257e183778dd9dde5e28f65e5078218acd98d420,0.0007829940000000001,129.807094302,165783
0xc5997d5294cb89106f7703fbe159858fd8096b0af6986cda04dea28a9346e518,0.0007829940000000001,171.22982588399998,218686
0xbcfb7e11dd0e5f1c8234e6b80a4309850abcb41c1bd09b0c79a436190c184b8a,0.000760232,206.964799448,272239
0x839048b8019a047b74b44f31b19ae4efb2df18d182bb67975d362ea7d3806650,0.000760232,131.799901376,173368
0xab3ae3975af980be65ff1c5bb37ff28a9055178a5f7a17fe3b5bc889a590ea88,0.0007829940000000001,16.442874,21000
0x6c9b2852076f4fa7a16424cbb3a298cb50131ea87801361e22bc866eeda2855d,0.0007829940000000001,73.924812522,94413
0x617d00f7f294fc74fb0c830f391dd2bbb56b6c04a2729fe2491b78379570dbf1,0.000760232,15.964872,21000
0x14d84d889786917f6f19357915c7b45afe987475749bb74dc0ccb2d503439c25,0.000760232,15.964872,21000
0x48ae5153c9a9fc8638144ac9a7390a9e37d90055ab3d767e0c409b78efe0804b,0.000760232,15.964872,21000
0x28a2f738a343d94b341773f6866cfed67354480592e6aa9b09650c9c9ef1d793,0.000760232,135.352465512,178041
0x9432663f8cc3de44f13e2ee5f7badf9c87195b35f6d739c8e15f42a5e8dddfc5,0.0007829940000000001,18.749574324,23946
0xb1be1cfdd9beede394c7ef6bc9be5d120e7342b636ec6ba9e337778112515033,0.0007829940000000001,146.775357276,187454
0xfeb537c8c83b4973268a4bab57aa230cfb1dcf5c3c1797f2d40d28f1467c6102,0.000760232,93.11853698399999,122487
0x818b2db038f40ff1e8da86c4f5b3be42c167bbb04d0307012788736b72fb3b19,0.000760232,15.964872,21000
0xc0f1943c55d7045526962d180b1116faffdf0baa20c1fa85a788bbe427864ef2,0.0007829940000000001,16.442874,21000
0xfb772b4431bbdf648104a30494287d2564e96c541f54d254c2b56ffbbdeb7b7e,0.000760232,39.44463732,51885
0xd6adc46855064b294a6b307b27f29f0c024323c9bd5f9ee236edd1b3eb4b31f1,0.0007829940000000001,329.66239783200007,421028
0x930851c58f3eb64740ad720fa857c826e8b2fdff28619140d2b616e3a453d477,0.0007829940000000001,16.442874,21000
0x31cd73a3c5a0e4a43210e3cdc005a21c22f29e5252861b75a124527d953d0b7f,0.000760232,35.6548808,46900
0x1ba9db8a8b99a2c68e41041578a0ad1df14c3c3d079585c14a60cf65f679c45c,0.0007829940000000001,16.442874,21000
0xa2556104abb2b713c154ce2fcc203d6af73c5227c1ee350ec98215f72fb8ddf2,0.000760232,15.964872,21000
0xa3653c43d3b38bef0b21105f5aca1c05d888f6f4bd048f8e5df0c57aa0181807,0.000760232,31.454598999999998,41375
0xdd0e8b59236c1ae00dad9aed61e9e118d976c81564d17d0b4fefe523b8db3bff,0.0007829940000000001,42.425746896,54184
0xb326b09676b221ac12de1e40259eafb31013d41406f7cbe6838305bdc6a97dc7,0.000760232,39.724402696000006,52253
0x3c62f30b5057f98f70c587390a8767cf319086aafffdc70a8823f33fd28b62ba,0.0007829940000000001,16.442874,21000
0x290a34207ec441e15315e092422a6d9bb65e3d6dcfea68323e4eb1d7d56f793b,0.000736719,65.105331468,88372
